Wavelength (nm),% Transmission,Optical Density
307,6.63E-05,6.17856
306,1.15E-04,5.94064
305,8.68E-05,6.06138
304,2.39E-04,5.62079
303,4.17E-05,6.38026
302,5.31E-05,6.27494
301,2.49E-04,5.60304
300,5.81E-05,6.23596
299,1.12E-04,5.94968
298,1.75E-05,6.75806
297,4.04E-05,6.39328
296,7.00E-05,6.15469
295,1.41E-04,5.85086
294,2.23E-04,5.65228
293,5.39E-05,6.26818
292,1.88E-05,6.72678
291,5.38E-05,6.26936
290,5.26E-05,6.27865
289,7.26E-05,6.1389
288,1.25E-04,5.90313
287,1.20E-04,5.92216
286,1.28E-04,5.89335
285,1.56E-05,6.80578
284,7.69E-05,6.11406
283,5.92E-05,6.22732
282,8.81E-05,6.05493
281,3.77E-06,7.42339
280,1.17E-04,5.93344
279,5.67E-05,6.24641
278,3.75E-05,6.4255
277,1.32E-04,5.88031
276,1.32E-04,5.87779
275,2.48E-04,5.60608
274,2.09E-04,5.67987
273,1.96E-04,5.70755
272,1.75E-05,6.75624
271,1.66E-04,5.77945
270,8.65E-06,7.06311
269,2.22E-05,6.65335
268,1.44E-04,5.84155
267,1.35E-04,5.87042
266,6.86E-06,7.16354
265,8.41E-05,6.07506
264,2.77E-05,6.55678
263,2.27E-04,5.64429
262,2.51E-05,6.60014
261,1.50E-04,5.82315
260,9.55E-05,6.02004
259,1.94E-04,5.71304
258,3.17E-05,6.49876
257,1.21E-04,5.91655
256,6.29E-05,6.20155
255,2.57E-04,5.58949
254,5.81E-05,6.23574
253,2.10E-04,5.67832
252,4.72E-07,8.32652
251,1.51E-05,6.82196
250,1.25E-04,5.90319
249,8.96E-05,6.04789
248,5.14E-05,6.28874
247,1.22E-05,6.91298
246,1.46E-04,5.83434
245,4.55E-05,6.34244
244,1.48E-04,5.82917
243,1.64E-04,5.78501
242,4.22E-05,6.3745
241,7.60E-05,6.1191
240,1.37E-04,5.86318
239,1.50E-04,5.82321
238,9.96E-05,6.00162
237,1.18E-04,5.92738
236,3.25E-05,6.48857
235,3.16E-04,5.50051
234,2.85E-06,7.54525
233,2.18E-04,5.66234
232,5.12E-05,6.29062
231,2.01E-04,5.69656
230,2.21E-04,5.65591
229,9.93E-05,6.00288
228,2.01E-04,5.69701
227,4.25E-05,6.37127
226,1.17E-04,5.93243
225,2.61E-04,5.58308
224,4.31E-05,6.3655
223,2.59E-04,5.58601
222,1.30E-04,5.88595
221,2.40E-04,5.6194
220,1.31E-04,5.88338
219,2.67E-04,5.57348
218,2.47E-04,5.60782
217,1.22E-04,5.9138
216,4.07E-04,5.39077
215,1.76E-04,5.75332
214,3.51E-04,5.45453
213,9.24E-05,6.03427
212,3.66E-04,5.43599
211,1.90E-04,5.72017
210,3.48E-04,5.4582
209,2.28E-04,5.64172
208,4.48E-04,5.34885
207,3.27E-04,5.48601
206,3.54E-04,5.45063
205,2.23E-04,5.65242
204,2.79E-04,5.55509
203,5.46E-04,5.26259
202,2.14E-04,5.66865
201,2.18E-04,5.66084
200,6.52E-04,5.18575
