Wavelength (nm),% Transmission,,
2389,61.68356705,,
2388,61.49758148,,
2387,61.28448868,,
2386,61.04582596,,
2385,60.89431763,,
2384,60.71372604,,
2383,60.48842239,,
2382,60.30185699,,
2381,60.11553955,,
2380,59.90101624,,
2379,59.67948914,,
2378,59.39175415,,
2377,59.10664749,,
2376,58.93501663,,
2375,58.556633,,
2374,58.28038025,,
2373,58.08318329,,
2372,57.84989548,,
2371,57.56264877,,
2370,57.27539825,,
2369,57.05868149,,
2368,56.82476807,,
2367,56.62072754,,
2366,56.49665451,,
2365,56.19111633,,
2364,56.16706467,,
2363,55.93218231,,
2362,55.81790161,,
2361,55.79549026,,
2360,55.68745804,,
2359,55.56884003,,
2358,55.44233322,,
2357,55.38913727,,
2356,55.26734161,,
2355,55.19662476,,
2354,55.0214119,,
2353,54.95183945,,
2352,54.88817596,,
2351,54.7700882,,
2350,54.75569916,,
2349,54.79039383,,
2348,54.74463272,,
2347,54.76341248,,
2346,54.76990891,,
2345,54.77604294,,
2344,54.8401413,,
2343,54.90021515,,
2342,54.91474152,,
2341,55.04511642,,
2340,55.0670166,,
2339,55.12010574,,
2338,55.10477448,,
2337,55.19360733,,
2336,55.18110275,,
2335,55.10276031,,
2334,55.20122528,,
2333,55.08959198,,
2332,55.05405045,,
2331,55.06721115,,
2330,54.95851135,,
2329,54.94423676,,
2328,54.96524429,,
2327,54.83356857,,
2326,54.72697449,,
2325,54.73328781,,
2324,54.62648773,,
2323,54.47670364,,
2322,54.34101868,,
2321,54.18315125,,
2320,53.95960236,,
2319,53.87998962,,
2318,53.73400879,,
2317,53.76305008,,
2316,53.82413101,,
2315,53.9597168,,
2314,54.13392639,,
2313,54.56848907,,
2312,54.87873459,,
2311,55.28108978,,
2310,55.71575165,,
2309,56.26222992,,
2308,56.68096542,,
2307,57.14572144,,
2306,57.55416107,,
2305,57.98347092,,
2304,58.459198,,
2303,58.78656006,,
2302,59.29550934,,
2301,59.71957016,,
2300,60.15959549,,
2299,60.6137352,,
2298,61.10497665,,
2297,61.51946259,,
2296,62.04161072,,
2295,62.55275726,,
2294,62.96954346,,
2293,63.4165535,,
2292,63.91643143,,
2291,64.28731537,,
2290,64.65887451,,
2289,65.08390045,,
2288,65.4004364,,
2287,65.86135864,,
2286,66.1672821,,
2285,66.52354431,,
2284,66.81156921,,
2283,67.0542984,,
2282,67.32481384,,
2281,67.54581451,,
2280,67.69165039,,
2279,67.82443237,,
2278,68.02495575,,
2277,68.13481903,,
2276,68.11767578,,
2275,68.19982147,,
2274,68.52432251,,
2273,68.59069824,,
2272,68.84446716,,
2271,69.16788483,,
2270,69.48678589,,
2269,69.78541565,,
2268,70.15908051,,
2267,70.50598907,,
2266,70.81210327,,
2265,71.14453125,,
2264,71.425354,,
2263,71.69491577,,
2262,71.92433167,,
2261,72.19548035,,
2260,72.35855103,,
2259,72.45404816,,
2258,72.63330078,,
2257,72.71446991,,
2256,72.79449463,,
2255,72.74221039,,
2254,72.73566437,,
2253,72.81681061,,
2252,72.62717438,,
2251,72.59021759,,
2250,72.4021759,,
2249,72.27005005,,
2248,72.08410645,,
2247,71.848526,,
2246,71.78561401,,
2245,71.40412903,,
2244,71.09650421,,
2243,70.81652069,,
2242,70.57764435,,
2241,70.25455475,,
2240,69.92808533,,
2239,69.50976563,,
2238,69.20300293,,
2237,68.82154846,,
2236,68.50999451,,
2235,68.1410675,,
2234,67.79679871,,
2233,67.35694122,,
2232,67.17680359,,
2231,66.81819916,,
2230,66.51948547,,
2229,66.27632141,,
2228,66.02226257,,
2227,65.7527771,,
2226,65.50157928,,
2225,65.27654266,,
2224,65.05204773,,
2223,64.88371277,,
2222,64.66395569,,
2221,64.50999451,,
2220,64.17782593,,
2219,64.0381012,,
2218,63.87228394,,
2217,63.62669373,,
2216,63.49996948,,
2215,63.33880615,,
2214,63.12733841,,
2213,63.11679077,,
2212,62.92912292,,
2211,62.86191177,,
2210,62.72379303,,
2209,62.67470169,,
2208,62.646492,,
