Wavelength (nm),% Transmission,,
1699,82.64072,,
1698,82.79336,,
1697,82.96906,,
1696,83.11589,,
1695,83.22126,,
1694,83.31136,,
1693,83.36072,,
1692,83.4074,,
1691,83.45731,,
1690,83.53819,,
1689,83.67033,,
1688,83.83709,,
1687,84.01964,,
1686,84.23777,,
1685,84.49591,,
1684,84.725,,
1683,84.91381,,
1682,85.04152,,
1681,85.11638,,
1680,85.14148,,
1679,85.10422,,
1678,85.00354,,
1677,84.88269,,
1676,84.75502,,
1675,84.61231,,
1674,84.46515,,
1673,84.36881,,
1672,84.31664,,
1671,84.33826,,
1670,84.43104,,
1669,84.58195,,
1668,84.79952,,
1667,85.07825,,
1666,85.41236,,
1665,85.74069,,
1664,86.03575,,
1663,86.3052,,
1662,86.53771,,
1661,86.76023,,
1660,86.95472,,
1659,87.10074,,
1658,87.22135,,
1657,87.32958,,
1656,87.39452,,
1655,87.43707,,
1654,87.4751,,
1653,87.49748,,
1652,87.51416,,
1651,87.50924,,
1650,87.50095,,
1649,87.49617,,
1648,87.49343,,
1647,87.50771,,
1646,87.53493,,
1645,87.57294,,
1644,87.6445,,
1643,87.69201,,
1642,87.70844,,
1641,87.72881,,
1640,87.70599,,
1639,87.66355,,
1638,87.64313,,
1637,87.65705,,
1636,87.64858,,
1635,87.61222,,
1634,87.58169,,
1633,87.57065,,
1632,87.55329,,
1631,87.54747,,
1630,87.56504,,
1629,87.56964,,
1628,87.56445,,
1627,87.55816,,
1626,87.5314,,
1625,87.49596,,
1624,87.46362,,
1623,87.43437,,
1622,87.38093,,
1621,87.37446,,
1620,87.36834,,
1619,87.35255,,
1618,87.34756,,
1617,87.35558,,
1616,87.35635,,
1615,87.3557,,
1614,87.35048,,
1613,87.34919,,
1612,87.35325,,
1611,87.35111,,
1610,87.33701,,
1609,87.33992,,
1608,87.34879,,
1607,87.32486,,
1606,87.30166,,
1605,87.29457,,
1604,87.29469,,
1603,87.30199,,
1602,87.30937,,
1601,87.31221,,
1600,87.31775,,
1599,87.33138,,
1598,87.33295,,
1597,87.32311,,
1596,87.29989,,
1595,87.28819,,
1594,87.28544,,
1593,87.29488,,
1592,87.28804,,
1591,87.24634,,
1590,87.28041,,
1589,87.26738,,
1588,87.24786,,
1587,87.25185,,
1586,87.23398,,
1585,87.22639,,
1584,87.21305,,
1583,87.17782,,
1582,87.15458,,
1581,87.14183,,
1580,87.11232,,
1579,87.0978,,
1578,87.07596,,
1577,87.05065,,
1576,87.04605,,
1575,87.00901,,
1574,86.96374,,
1573,86.95014,,
1572,86.95473,,
1571,86.9246,,
1570,86.89929,,
1569,86.86634,,
1568,86.83566,,
1567,86.80289,,
1566,86.76594,,
1565,86.76383,,
1564,86.73164,,
1563,86.70275,,
1562,86.65725,,
1561,86.63293,,
1560,86.64209,,
1559,86.58632,,
1558,86.51251,,
1557,86.45736,,
1556,86.40099,,
1555,86.3604,,
1554,86.31587,,
1553,86.27349,,
1552,86.23856,,
1551,86.18698,,
1550,86.14266,,
1549,86.08898,,
1548,86.06679,,
1547,86.02343,,
1546,86.01495,,
1545,85.99734,,
1544,86.01521,,
1543,86.01912,,
1542,86.04503,,
1541,86.07501,,
1540,86.097,,
1539,86.10481,,
1538,86.16431,,
1537,86.22296,,
1536,86.25886,,
1535,86.30628,,
1534,86.38649,,
1533,86.45132,,
1532,86.54219,,
1531,86.59994,,
1530,86.71573,,
1529,86.83301,,
1528,86.92005,,
1527,87.02803,,
1526,87.13611,,
1525,87.23827,,
1524,87.33071,,
1523,87.41046,,
1522,87.49391,,
1521,87.61693,,
1520,87.70698,,
1519,87.81852,,
1518,87.92104,,
1517,88.01816,,
1516,88.09628,,
1515,88.17137,,
1514,88.26309,,
1513,88.28478,,
1512,88.38364,,
1511,88.45082,,
1510,88.52616,,
1509,88.55607,,
1508,88.61474,,
1507,88.62547,,
1506,88.67949,,
1505,88.69241,,
1504,88.68226,,
1503,88.6995,,
1502,88.70216,,
1501,88.72251,,
1500,88.71938,,
1499,88.72146,,
1498,88.64663,,
1497,88.6505,,
1496,88.59643,,
1495,88.5501,,
1494,88.47741,,
1493,88.45935,,
1492,88.36917,,
1491,88.30203,,
1490,88.22614,,
1489,88.17105,,
1488,88.08085,,
1487,87.99582,,
1486,87.91001,,
1485,87.7791,,
1484,87.6766,,
1483,87.56288,,
1482,87.47032,,
1481,87.34436,,
1480,87.24755,,
1479,87.11065,,
1478,86.98072,,
1477,86.8581,,
1476,86.73219,,
1475,86.71217,,
1474,86.58306,,
1473,86.46437,,
1472,86.35252,,
1471,86.24796,,
1470,86.15515,,
1469,86.05152,,
1468,85.96121,,
1467,85.88972,,
1466,85.82623,,
1465,85.74772,,
1464,85.66912,,
1463,85.58,,
1462,85.55688,,
1461,85.51999,,
1460,85.4751,,
1459,85.44665,,
1458,85.43891,,
1457,85.43508,,
1456,85.42528,,
1455,85.4137,,
1454,85.43218,,
1453,85.43211,,
1452,85.44913,,
1451,85.47787,,
1450,85.50618,,
1449,85.53085,,
1448,85.62025,,
1447,85.6204,,
1446,85.69012,,
1445,85.75222,,
1444,85.80259,,
1443,85.8463,,
1442,85.9182,,
1441,86.03143,,
1440,86.10735,,
1439,86.19306,,
1438,86.27585,,
